# CONVERGE Release Build 2.3.29/  Dec 13, 2017        Run Date:Sat Jan 13 15:08:31 2018
# column       1                2                3                4                5                6                7                8                9               10               11               12               13               14               15               16               17 
#          Crank         Pressure         Max_Pres         Min_Pres        Mean_Temp         Max_Temp         Min_Temp           Volume             Mass          Density    Integrated_HR          HR_Rate              C_p              C_v            Gamma         Kin_Visc         Dyn_Visc
#          (DEG)            (MPa)            (MPa)            (MPa)              (K)              (K)              (K)            (m^3)             (kg)         (kg/m^3)              (J)         (J/time)         (J/kg-K)         (J/kg-K)           (none)          (m^2/s)        (N*s/m^2)
#
 -3.1997828e+002   9.3026859e-002   9.8411912e-002   8.4799197e-002   4.8947781e+002   1.0364725e+003   3.3461082e+002   1.2533955e-004   9.0392066e-005   7.2117751e-001  -1.8016759e-006   0.0000000e+000   1.2373444e+003   9.7556089e+002   1.2683415e+000   3.7607970e-005   2.6197872e-005
 -3.1994592e+002   9.3043214e-002   9.8421725e-002   8.4826762e-002   4.8935270e+002   1.0364178e+003   3.3513682e+002   1.2544610e-004   9.0508610e-005   7.2149403e-001  -1.8024548e-006  -2.4075872e-008   1.2372489e+003   9.7545988e+002   1.2683750e+000   3.7581634e-005   2.6193871e-005
 -3.1991356e+002   9.3059577e-002   9.8430107e-002   8.4826130e-002   4.8922765e+002   1.0363645e+003   3.3558690e+002   1.2555269e-004   9.0625304e-005   7.2181091e-001  -1.8032287e-006  -2.3910022e-008   1.2371538e+003   9.7535922e+002   1.2684083e+000   3.7555315e-005   2.6189873e-005
 -3.1988118e+002   9.3075844e-002   9.8448578e-002   8.4855750e-002   4.8910256e+002   1.0363124e+003   3.3407782e+002   1.2565944e-004   9.0742098e-005   7.2212717e-001  -1.8040027e-006  -2.3906730e-008   1.2370586e+003   9.7525855e+002   1.2684417e+000   3.7529058e-005   2.6185868e-005
 -3.1984879e+002   9.3092103e-002   9.8466145e-002   8.4874758e-002   4.8897787e+002   1.0362579e+003   3.3346067e+002   1.2576632e-004   9.0858944e-005   7.2244258e-001  -1.8047698e-006  -2.3681857e-008   1.2369630e+003   9.7515738e+002   1.2684753e+000   3.7502902e-005   2.6181874e-005
 -3.1981638e+002   9.3108414e-002   9.8479802e-002   8.4909987e-002   4.8885349e+002   1.0362004e+003   3.3489767e+002   1.2587324e-004   9.0975910e-005   7.2275813e-001  -1.8055329e-006  -2.3550487e-008   1.2368676e+003   9.7505640e+002   1.2685088e+000   3.7476795e-005   2.6177889e-005
 -3.1978396e+002   9.3124685e-002   9.8496342e-002   8.4916810e-002   4.8872905e+002   1.0361404e+003   3.3512554e+002   1.2598034e-004   9.1093090e-005   7.2307386e-001  -1.8062927e-006  -2.3432080e-008   1.2367727e+003   9.7495604e+002   1.2685420e+000   3.7450730e-005   2.6173895e-005
 -3.1975152e+002   9.3140915e-002   9.8511818e-002   8.4950062e-002   4.8860487e+002   1.0360790e+003   3.3485554e+002   1.2608760e-004   9.1210356e-005   7.2338881e-001  -1.8070484e-006  -2.3295634e-008   1.2366776e+003   9.7485550e+002   1.2685753e+000   3.7424743e-005   2.6169910e-005
 -3.1971906e+002   9.3157207e-002   9.8520820e-002   8.4970428e-002   4.8848105e+002   1.0360161e+003   3.3014045e+002   1.2619491e-004   9.1327723e-005   7.2370372e-001  -1.8078007e-006  -2.3177106e-008   1.2365824e+003   9.7475475e+002   1.2686088e+000   3.7398817e-005   2.6165932e-005
 -3.1968659e+002   9.3173486e-002   9.8534396e-002   8.5000072e-002   4.8835740e+002   1.0359512e+003   3.3240972e+002   1.2630235e-004   9.1445234e-005   7.2401847e-001  -1.8085481e-006  -2.3015264e-008   1.2364875e+003   9.7465437e+002   1.2686420e+000   3.7372952e-005   2.6161959e-005
 -3.1965410e+002   9.3189693e-002   9.8550164e-002   8.5020974e-002   4.8823391e+002   1.0358842e+003   3.3321920e+002   1.2640997e-004   9.1562831e-005   7.2433237e-001  -1.8092917e-006  -2.2889380e-008   1.2363927e+003   9.7455405e+002   1.2686753e+000   3.7347139e-005   2.6157990e-005
 -3.1962159e+002   9.3205960e-002   9.8561860e-002   8.5036266e-002   4.8811060e+002   1.0358153e+003   3.3670347e+002   1.2651791e-004   9.1680784e-005   7.2464669e-001  -1.8100337e-006  -2.2824051e-008   1.2362971e+003   9.7445295e+002   1.2687089e+000   3.7321360e-005   2.6154021e-005
 -3.1958906e+002   9.3222260e-002   9.8581843e-002   8.5048314e-002   4.8798774e+002   1.0357447e+003   3.2952339e+002   1.2662576e-004   9.1798692e-005   7.2496063e-001  -1.8107713e-006  -2.2674202e-008   1.2362020e+003   9.7435225e+002   1.2687423e+000   3.7295663e-005   2.6150063e-005
 -3.1955652e+002   9.3238511e-002   9.8592012e-002   8.5054109e-002   4.8786508e+002   1.0356732e+003   3.3367705e+002   1.2673377e-004   9.1916716e-005   7.2527408e-001  -1.8115056e-006  -2.2566108e-008   1.2361073e+003   9.7425219e+002   1.2687755e+000   3.7270034e-005   2.6146107e-005
 -3.1952396e+002   9.3254835e-002   9.8602758e-002   8.5086091e-002   4.8774289e+002   1.0356012e+003   3.3303948e+002   1.2684186e-004   9.2034851e-005   7.2558738e-001  -1.8122384e-006  -2.2507179e-008   1.2360123e+003   9.7415164e+002   1.2688089e+000   3.7244470e-005   2.6142166e-005
 -3.1949139e+002   9.3271197e-002   9.8622544e-002   8.5112189e-002   4.8762112e+002   1.0355288e+003   3.3346965e+002   1.2695006e-004   9.2153067e-005   7.2590014e-001  -1.8129646e-006  -2.2293579e-008   1.2359169e+003   9.7405069e+002   1.2688425e+000   3.7218971e-005   2.6138237e-005
 -3.1945879e+002   9.3287470e-002   9.8634496e-002   8.5119686e-002   4.8749957e+002   1.0354556e+003   3.3854193e+002   1.2705847e-004   9.2271359e-005   7.2621177e-001  -1.8136903e-006  -2.2260479e-008   1.2358209e+003   9.7394898e+002   1.2688764e+000   3.7193574e-005   2.6134313e-005
 -3.1942616e+002   9.3303834e-002   9.8646816e-002   8.5132620e-002   4.8737836e+002   1.0353808e+003   3.3637522e+002   1.2716698e-004   9.2389808e-005   7.2652358e-001  -1.8144110e-006  -2.2085627e-008   1.2357248e+003   9.7384721e+002   1.2689103e+000   3.7168219e-005   2.6130400e-005
 -3.1939350e+002   9.3320185e-002   9.8661816e-002   8.5161609e-002   4.8725727e+002   1.0353024e+003   3.3722660e+002   1.2727560e-004   9.2508376e-005   7.2683511e-001  -1.8151276e-006  -2.1945700e-008   1.2356287e+003   9.7374536e+002   1.2689443e+000   3.7142910e-005   2.6126489e-005
 -3.1936083e+002   9.3336444e-002   9.8675691e-002   8.5178664e-002   4.8713638e+002   1.0352198e+003   3.3896824e+002   1.2738445e-004   9.2627050e-005   7.2714564e-001  -1.8158428e-006  -2.1893355e-008   1.2355322e+003   9.7364315e+002   1.2689785e+000   3.7117676e-005   2.6122587e-005
 -3.1932814e+002   9.3352786e-002   9.8688701e-002   8.5196782e-002   4.8701593e+002   1.0351349e+003   3.3757051e+002   1.2749337e-004   9.2745808e-005   7.2745593e-001  -1.8165540e-006  -2.1754521e-008   1.2354360e+003   9.7354108e+002   1.2690127e+000   3.7092487e-005   2.6118700e-005
 -3.1929543e+002   9.3369105e-002   9.8702293e-002   8.5229641e-002   4.8689576e+002   1.0350470e+003   3.3750111e+002   1.2760239e-004   9.2864705e-005   7.2776618e-001  -1.8172627e-006  -2.1664615e-008   1.2353396e+003   9.7343877e+002   1.2690471e+000   3.7067377e-005   2.6114819e-005
 -3.1926269e+002   9.3385388e-002   9.8816655e-002   8.5250678e-002   4.8677576e+002   1.0349558e+003   3.3627062e+002   1.2771168e-004   9.2983741e-005   7.2807547e-001  -1.8179681e-006  -2.1547926e-008   1.2352426e+003   9.7333582e+002   1.2690816e+000   3.7042351e-005   2.6110942e-005
